Age,Gender,Type of Family,Game Hours (Day),Violent Game Hours (Day),Delinquent Behavior,Game-Aggression Belief,Buss-Perry Aggression Score
18,male,joint,more than 3 hour,more than 2 hour,yes,yes,115
16,male,nuclear,more than 1 hour,more than 1 hour,yes,yes,79
19,female,nuclear,less than 1 hour,less than 1 hour,no,yes,79
19,male,joint,more than 2 hour,more than 2 hour,yes,yes,102
18,male,joint,less than 1 hour,less than 1 hour,no,yes,86
17,male,nuclear,less than 1 hour,less than 1 hour,yes,yes,89
17,male,joint,less than 1 hour,less than 1 hour,no,no,63
19,male,joint,more than 2 hour,less than 1 hour,no,no,62
18,male,extended,more than 1 hour,less than 1 hour,no,no,51
20,male,nuclear,more than 3 hour,more than 2 hour,yes,yes,98
19,male,joint,less than 1 hour,less than 1 hour,yes,no,85
17,male,joint,less than 1 hour,less than 1 hour,no,no,81
17,male,nuclear,more than 1 hour,less than 1 hour,no,no,89
17,male,joint,less than 1 hour,less than 1 hour,no,yes,102
18,female,nuclear,more than 3 hour,less than 1 hour,yes,yes,99
19,male,joint,more than 1 hour,less than 1 hour,no,yes,109
17,male,joint,more than 2 hour,less than 1 hour,no,yes,79
19,male,joint,more than 3 hour,more than 3 hour,no,yes,88
17,male,joint,more than 5 hour,more than 5 hour,yes,yes,123
19,male,joint,more than 2 hour,less than 1 hour,no,yes,66
20,male,joint,less than 1 hour,less than 1 hour,yes,no,82
23,male,joint,less than 1 hour,less than 1 hour,no,no,109
20,male,joint,more than 3 hour,less than 1 hour,no,yes,100
19,male,nuclear,less than 1 hour,less than 1 hour,no,yes,92
19,female,joint,more than 1 hour,more than 1 hour,yes,yes,102
19,male,joint,more than 1 hour,less than 1 hour,no,yes,81
23,male,nuclear,less than 1 hour,less than 1 hour,no,yes,85
20,male,nuclear,more than 1 hour,more than 2 hour,no,yes,65
18,male,joint,more than 2 hour,less than 1 hour,yes,yes,80
19,male,joint,more than 1 hour,more than 1 hour,no,no,72
19,male,joint,more than 2 hour,more than 2 hour,no,yes,64
19,male,joint,more than 1 hour,less than 1 hour,no,yes,87
28,female,joint,more than 1 hour,more than 1 hour,yes,yes,84
19,male,joint,less than 1 hour,less than 1 hour,no,yes,86
19,female,joint,less than 1 hour,less than 1 hour,no,yes,92
17,female,joint,less than 1 hour,less than 1 hour,no,no,88
18,female,extended,less than 1 hour,less than 1 hour,no,yes,75
18,female,joint,less than 1 hour,less than 1 hour,no,yes,103
19,male,nuclear,more than 1 hour,less than 1 hour,no,yes,108
18,female,joint,more than 1 hour,less than 1 hour,no,yes,91
24,male,joint,more than 2 hour,more than 1 hour,yes,yes,84
20,male,joint,more than 5 hour,more than 2 hour,no,yes,89
19,male,joint,more than 3 hour,more than 2 hour,no,no,90
18,male,joint,less than 1 hour,less than 1 hour,yes,no,98
20,male,nuclear,more than 5 hour,more than 5 hour,yes,no,66
20,male,extended,less than 1 hour,less than 1 hour,yes,yes,121
20,male,joint,less than 1 hour,less than 1 hour,no,yes,94
20,female,joint,more than 1 hour,more than 1 hour,no,no,65
18,male,joint,more than 1 hour,more than 1 hour,no,no,87
22,female,nuclear,less than 1 hour,more than 2 hour,no,yes,89
22,female,nuclear,more than 1 hour,more than 1 hour,no,yes,68
26,male,joint,less than 1 hour,less than 1 hour,no,no,66
20,female,nuclear,more than 5 hour,more than 1 hour,no,no,78
21,female,joint,less than 1 hour,less than 1 hour,no,yes,95
24,female,joint,less than 1 hour,less than 1 hour,no,yes,80
19,male,joint,less than 1 hour,less than 1 hour,no,yes,85
32,male,joint,less than 1 hour,less than 1 hour,yes,yes,86
17,male,joint,less than 1 hour,less than 1 hour,no,yes,35
19,female,joint,less than 1 hour,less than 1 hour,no,no,59
20,male,joint,more than 1 hour,less than 1 hour,no,yes,86
20,female,nuclear,less than 1 hour,less than 1 hour,no,yes,69
18,female,nuclear,less than 1 hour,less than 1 hour,no,yes,79
16,male,joint,more than 2 hour,more than 2 hour,no,yes,93
20,male,joint,less than 1 hour,less than 1 hour,no,no,59
18,female,joint,less than 1 hour,less than 1 hour,no,yes,88
20,male,joint,less than 1 hour,less than 1 hour,yes,yes,88
18,male,joint,more than 1 hour,more than 1 hour,no,yes,75
17,male,joint,more than 3 hour,more than 3 hour,no,yes,99
18,male,joint,more than 3 hour,more than 2 hour,no,yes,96
19,male,nuclear,more than 2 hour,more than 2 hour,no,yes,77
17,male,joint,more than 2 hour,more than 2 hour,yes,yes,99
18,male,joint,more than 1 hour,more than 1 hour,yes,no,118
17,male,nuclear,more than 1 hour,more than 1 hour,no,no,70
20,male,nuclear,more than 1 hour,less than 1 hour,no,no,58
20,male,nuclear,more than 2 hour,more than 2 hour,no,no,53
15,male,extended,more than 5 hour,more than 5 hour,no,no,84
20,male,joint,more than 3 hour,more than 1 hour,no,yes,105
20,male,joint,more than 2 hour,more than 1 hour,yes,yes,87
18,male,joint,more than 2 hour,more than 1 hour,yes,yes,115
19,male,joint,more than 3 hour,more than 3 hour,no,yes,90
18,female,joint,more than 3 hour,less than 1 hour,no,yes,96
18,male,joint,more than 3 hour,more than 3 hour,yes,yes,76
18,male,joint,less than 1 hour,less than 1 hour,no,yes,92
22,male,nuclear,less than 1 hour,less than 1 hour,no,yes,73
25,male,joint,more than 1 hour,more than 1 hour,no,yes,54
22,female,nuclear,less than 1 hour,less than 1 hour,yes,yes,89
17,male,nuclear,more than 2 hour,more than 2 hour,no,yes,91
20,male,joint,more than 2 hour,more than 2 hour,no,yes,103
18,female,joint,more than 2 hour,less than 1 hour,no,yes,74
17,male,joint,more than 1 hour,more than 2 hour,no,yes,89
20,male,joint,more than 2 hour,less than 1 hour,no,no,70
15,male,joint,more than 1 hour,more than 1 hour,yes,yes,83
23,male,joint,more than 5 hour,more than 5 hour,no,yes,91
21,male,joint,more than 1 hour,less than 1 hour,yes,no,57
20,male,joint,less than 1 hour,less than 1 hour,no,yes,97
18,male,joint,more than 3 hour,more than 2 hour,yes,yes,79
19,male,joint,more than 2 hour,more than 2 hour,no,no,81
23,female,joint,less than 1 hour,more than 1 hour,yes,no,113
18,male,nuclear,more than 5 hour,more than 5 hour,yes,yes,147
19,male,extended,more than 1 hour,more than 1 hour,no,no,77
16,male,nuclear,less than 1 hour,less than 1 hour,no,yes,54
20,female,joint,more than 2 hour,more than 2 hour,yes,no,100
19,male,joint,more than 2 hour,more than 2 hour,no,no,59
17,male,joint,more than 2 hour,more than 3 hour,yes,yes,119
18,male,joint,more than 3 hour,more than 2 hour,yes,yes,87
25,male,joint,less than 1 hour,less than 1 hour,yes,no,85
25,male,joint,more than 1 hour,less than 1 hour,no,yes,79
19,male,nuclear,more than 2 hour,more than 2 hour,yes,yes,80
28,male,joint,more than 1 hour,more than 1 hour,no,no,43
20,male,joint,less than 1 hour,more than 2 hour,yes,yes,91
19,male,joint,more than 1 hour,more than 1 hour,no,yes,88
16,male,joint,more than 3 hour,more than 2 hour,no,no,89
15,female,joint,more than 1 hour,more than 1 hour,no,no,83
16,male,joint,more than 1 hour,more than 1 hour,no,no,75
15,male,joint,more than 3 hour,more than 3 hour,no,no,67
15,male,nuclear,more than 3 hour,more than 3 hour,no,no,96
20,male,joint,more than 1 hour,less than 1 hour,no,no,77
23,male,joint,more than 2 hour,more than 2 hour,yes,yes,120
18,female,joint,more than 1 hour,more than 1 hour,no,yes,79
17,male,joint,less than 1 hour,less than 1 hour,no,no,66
18,male,joint,more than 3 hour,more than 3 hour,no,yes,100
20,male,joint,more than 1 hour,more than 1 hour,no,yes,79
15,female,joint,more than 1 hour,more than 1 hour,no,no,69
15,female,nuclear,less than 1 hour,less than 1 hour,yes,yes,106
16,female,nuclear,less than 1 hour,less than 1 hour,no,no,76
19,male,joint,more than 2 hour,more than 2 hour,yes,no,77
15,female,nuclear,less than 1 hour,less than 1 hour,no,yes,82
20,female,nuclear,less than 1 hour,less than 1 hour,no,yes,96
15,male,joint,more than 5 hour,more than 5 hour,no,yes,116
17,male,joint,more than 3 hour,more than 2 hour,yes,no,65
18,female,joint,less than 1 hour,more than 1 hour,no,no,87
15,female,nuclear,more than 3 hour,more than 2 hour,no,no,96
20,male,joint,more than 2 hour,more than 2 hour,no,yes,96
20,female,nuclear,more than 1 hour,less than 1 hour,no,yes,80
20,female,nuclear,more than 3 hour,less than 1 hour,no,yes,88
19,female,nuclear,less than 1 hour,less than 1 hour,no,no,95
20,female,joint,more than 3 hour,less than 1 hour,no,no,99
18,female,nuclear,more than 5 hour,more than 3 hour,yes,yes,108
16,male,extended,less than 1 hour,less than 1 hour,no,no,83
19,female,joint,less than 1 hour,less than 1 hour,yes,yes,74
20,male,nuclear,more than 3 hour,more than 3 hour,no,no,101
18,female,joint,less than 1 hour,less than 1 hour,yes,yes,99
18,male,joint,more than 1 hour,less than 1 hour,no,no,86
18,female,nuclear,more than 1 hour,more than 1 hour,no,yes,89
15,male,nuclear,more than 3 hour,less than 1 hour,no,no,69
23,male,joint,less than 1 hour,less than 1 hour,no,yes,85