Daily game time,Action/adventure,Shooting,Sports,Fantasy/rol,Racing,Fight,Strategy,Puzzles,Reading,Physical exercise/sports,Musical activities,Artistic activities,TTCT Test Score
I don't play video games,1,1,1,2,1,1,1,1,3,5,2,5,122
I don't play video games,1,1,1,1,1,1,1,1,4,4,2,5,95
From 4 to 6 hours,1,5,1,1,1,4,1,1,3,4,2,2,94
I don't play video games,1,1,1,1,1,1,1,1,2,4,3,2,81
Less than 2 hours,1,1,1,1,1,1,1,2,3,4,2,2,126
Less than 2 hours,1,1,1,1,3,1,1,1,4,4,3,2,121
Less than 2 hours,1,1,3,1,1,1,2,1,4,4,4,3,126
Less than 2 hours,4,1,1,5,1,1,1,2,5,4,3,4,124
I don't play video games,1,1,1,1,1,1,1,1,5,2,4,4,81
I don't play video games,1,1,1,1,1,1,1,1,2,4,1,1,61
Less than 2 hours,2,2,3,3,3,2,3,3,3,5,4,4,90
Less than 2 hours,1,3,1,3,1,1,4,1,4,2,5,5,110
More than 6 hours,4,1,1,1,5,2,1,1,1,2,1,1,71
Less than 2 hours,2,1,1,3,1,1,3,3,3,5,2,2,117
Less than 2 hours,1,2,1,3,1,1,4,2,4,4,2,2,115
From 2 to 4 hours,3,3,1,1,1,4,2,2,3,4,2,1,110
From 4 to 6 hours,1,2,3,4,2,1,1,2,1,4,2,1,98
I don't play video games,1,1,1,1,1,1,1,1,4,5,3,1,105
Less than 2 hours,1,1,2,2,1,3,1,1,4,3,4,4,144
From 2 to 4 hours,3,5,5,2,3,3,1,1,1,4,3,3,124
Less than 2 hours,2,2,1,2,2,1,2,2,5,5,5,4,136
I don't play video games,1,1,1,1,1,1,1,1,5,4,3,4,119
Less than 2 hours,3,3,1,5,2,1,4,1,3,4,5,3,119
From 2 to 4 hours,1,3,1,3,2,2,2,3,2,2,2,2,101
I don't play video games,1,1,1,1,1,1,1,1,3,5,3,5,139
Less than 2 hours,4,3,1,2,2,4,1,2,3,4,4,2,119
From 2 to 4 hours,3,1,1,3,3,1,3,2,3,3,1,3,125
Less than 2 hours,1,1,1,3,1,1,2,4,4,3,1,1,139
From 4 to 6 hours,1,5,4,4,3,2,3,1,3,4,2,2,94
From 4 to 6 hours,5,1,1,1,1,1,1,1,2,1,1,1,100
More than 6 hours,2,5,5,1,5,5,1,1,1,5,1,1,72
Less than 2 hours,1,2,1,3,1,1,4,4,5,2,5,5,138
I don't play video games,1,1,1,1,1,1,1,1,1,2,1,1,74
Less than 2 hours,1,3,2,4,5,2,3,1,5,2,4,4,119
I don't play video games,1,1,1,1,1,1,1,1,4,1,1,1,107
Less than 2 hours,1,2,3,1,1,1,5,5,4,1,1,1,119
From 4 to 6 hours,4,3,1,1,5,5,1,1,1,3,1,1,88
Less than 2 hours,1,1,1,2,1,1,1,1,5,4,4,4,102
Less than 2 hours,5,1,1,5,3,3,2,1,4,5,5,3,95
I don't play video games,1,1,1,1,1,1,1,1,5,5,5,5,76
From 2 to 4 hours,5,5,5,5,5,2,5,3,3,5,5,3,64
Less than 2 hours,2,1,2,2,2,1,2,1,4,3,4,4,114
Less than 2 hours,3,1,1,2,2,3,1,3,3,2,3,3,73
Less than 2 hours,4,1,1,1,1,1,1,3,5,5,3,2,104
More than 6 hours,3,4,1,5,1,3,2,2,4,5,1,5,127
Less than 2 hours,1,2,1,4,1,1,4,4,4,5,1,1,116
Less than 2 hours,1,4,1,4,1,1,1,2,4,2,2,1,115
Less than 2 hours,4,4,1,1,1,1,4,2,4,4,3,3,104
Less than 2 hours,1,1,1,1,1,1,1,5,5,2,4,4,121
From 2 to 4 hours,2,3,1,2,2,1,2,3,3,4,2,1,108
Less than 2 hours,2,1,1,4,2,1,3,4,5,3,1,1,122
Less than 2 hours,1,3,1,4,1,1,5,5,4,4,2,2,119
From 4 to 6 hours,5,1,5,1,3,1,1,1,2,2,1,1,107
From 4 to 6 hours,2,3,1,2,1,5,1,1,1,2,1,1,81
Less than 2 hours,5,3,3,5,5,2,2,3,1,5,1,2,120
Less than 2 hours,3,1,3,2,4,2,2,2,2,1,1,1,97
Less than 2 hours,1,1,3,1,3,1,1,1,5,5,5,3,110
Less than 2 hours,4,4,2,4,2,3,1,1,2,3,2,4,85
Less than 2 hours,4,5,4,3,4,3,2,1,5,4,5,5,106
I don't play video games,1,1,1,1,1,1,1,1,4,5,2,2,94
From 4 to 6 hours,1,5,1,1,1,1,1,1,2,2,1,1,81
From 4 to 6 hours,1,1,1,1,4,1,1,5,1,5,2,1,76
I don't play video games,1,1,1,1,1,1,1,1,1,2,2,2,96
More than 6 hours,5,5,2,1,5,5,1,1,2,4,1,1,79
From 2 to 4 hours,1,2,1,4,1,1,4,4,4,3,2,2,121
Less than 2 hours,1,2,3,2,4,2,5,1,3,1,1,1,112
From 4 to 6 hours,1,1,3,2,3,4,3,1,2,4,2,1,107
Less than 2 hours,2,2,2,4,1,1,4,3,4,5,2,3,115
From 4 to 6 hours,3,1,3,1,1,1,2,1,2,4,1,1,76
From 2 to 4 hours,3,1,1,4,1,1,4,4,4,2,5,5,132
From 4 to 6 hours,4,2,3,4,5,1,1,1,2,1,1,1,90
Less than 2 hours,1,1,1,1,1,1,1,5,3,3,5,5,104
I don't play video games,1,1,1,1,1,1,1,1,1,4,1,1,80
From 2 to 4 hours,2,2,1,2,1,1,3,4,4,2,4,4,131
I don't play video games,1,1,1,1,1,1,,,3,2,1,2,71
I don't play video games,1,1,1,1,1,1,1,1,4,4,3,5,97
I don't play video games,1,1,1,1,1,1,1,1,3,3,2,3,88
Less than 2 hours,4,1,4,2,2,2,1,1,4,5,3,5,94
I don't play video games,1,1,1,1,1,1,1,1,3,5,3,5,88
I don't play video games,1,1,1,1,1,1,1,1,3,3,1,2,59
Less than 2 hours,3,3,3,1,1,1,1,1,5,5,4,4,100
Less than 2 hours,1,2,1,1,1,1,1,1,3,2,1,1,80
Less than 2 hours,1,3,3,3,3,3,1,1,3,5,4,5,84
Less than 2 hours,3,1,1,2,1,2,3,2,4,2,5,3,118
I don't play video games,1,1,1,1,1,1,1,1,5,5,2,2,110
Less than 2 hours,1,3,4,1,1,1,2,1,5,5,3,2,71
Less than 2 hours,3,1,3,1,1,1,1,1,3,5,3,2,94
I don't play video games,1,1,1,1,1,1,1,1,5,3,4,4,81
Less than 2 hours,4,1,2,1,3,1,1,1,4,4,5,3,92
I don't play video games,1,1,1,1,1,1,1,1,5,5,3,2,82
I don't play video games,1,1,1,1,1,1,1,1,3,5,3,5,77
Less than 2 hours,1,1,3,1,1,1,1,1,4,5,3,2,115
Less than 2 hours,1,1,1,3,1,1,1,1,4,5,4,4,99
I don't play video games,1,1,1,1,1,1,1,1,3,4,3,3,68
I don't play video games,1,1,1,1,1,1,1,1,5,4,4,3,93
Less than 2 hours,5,5,1,5,1,5,1,1,1,1,1,1,96
From 2 to 4 hours,2,3,5,3,2,2,1,1,5,5,5,2,83
Less than 2 hours,1,3,1,2,2,1,2,1,5,2,2,4,92
Less than 2 hours,1,3,1,1,3,1,1,1,2,5,3,2,90
Less than 2 hours,3,2,1,2,2,2,4,4,4,2,2,2,121
Less than 2 hours,1,1,1,2,1,1,1,1,2,4,3,2,91
Less than 2 hours,1,4,1,4,1,1,1,1,4,4,3,2,87
Less than 2 hours,5,1,4,1,1,1,1,1,5,3,1,4,90
I don't play video games,1,1,1,1,1,1,1,1,4,3,3,5,106
Less than 2 hours,2,1,2,1,2,3,2,2,2,5,2,1,118
Less than 2 hours,2,4,3,3,1,1,1,1,4,5,3,5,130
I don't play video games,1,1,1,1,1,1,1,1,1,5,2,2,120
Less than 2 hours,2,2,2,2,2,2,2,2,3,5,5,5,119
I don't play video games,1,1,1,1,1,1,1,1,2,5,2,3,135
Less than 2 hours,1,1,2,1,2,1,3,1,3,4,3,5,125
I don't play video games,1,1,1,1,1,1,1,1,3,5,3,2,125
From 2 to 4 hours,1,5,1,3,1,1,1,1,2,5,3,2,99
Less than 2 hours,3,2,1,4,2,1,1,1,3,3,2,2,112
Less than 2 hours,2,4,1,3,3,1,2,2,3,5,3,4,118
Less than 2 hours,3,1,1,5,3,1,1,2,4,2,2,3,105
I don't play video games,1,1,1,1,1,1,1,1,5,5,3,3,89
Less than 2 hours,2,2,2,2,2,2,2,2,2,4,3,1,105
Less than 2 hours,1,1,2,2,2,1,1,2,2,4,2,3,118
Less than 2 hours,2,3,2,2,4,2,2,1,3,5,2,3,103
Less than 2 hours,1,4,4,3,4,2,1,1,3,5,2,2,95
From 2 to 4 hours,5,5,1,5,5,5,5,5,4,5,3,2,83
Less than 2 hours,1,1,1,2,1,1,1,1,4,4,4,3,117
I don't play video games,1,1,1,1,1,1,1,1,5,4,3,5,140
More than 6 hours,1,1,4,2,4,4,1,1,1,5,1,1,79
Less than 2 hours,5,5,5,1,3,4,1,2,3,5,4,5,107
Less than 2 hours,1,1,2,1,1,3,1,1,5,3,4,4,90
More than 6 hours,1,1,1,1,1,1,1,5,1,5,5,5,119
I don't play video games,1,1,1,1,1,1,1,1,4,3,1,2,92
Less than 2 hours,3,4,2,2,3,1,1,1,2,4,1,2,115
I don't play video games,1,1,1,1,1,1,1,1,5,4,3,3,112
I don't play video games,1,1,1,1,1,1,1,1,3,4,4,4,96
Less than 2 hours,1,4,3,2,1,1,3,1,4,4,2,2,86
Less than 2 hours,3,5,2,1,1,1,1,1,5,5,3,2,102
I don't play video games,1,1,1,1,1,1,1,1,3,2,5,3,94
Less than 2 hours,1,2,4,2,1,2,1,1,3,4,3,2,92
Less than 2 hours,1,1,1,2,1,1,1,1,2,5,2,4,117
From 2 to 4 hours,3,4,4,4,2,1,2,3,2,4,3,4,105
Less than 2 hours,1,1,3,2,1,2,1,2,3,3,3,3,118
Less than 2 hours,4,2,1,3,1,1,2,1,3,3,4,2,94
I don't play video games,1,1,1,1,1,1,1,1,4,5,3,4,115
From 4 to 6 hours,4,1,1,5,1,1,3,1,2,4,2,1,86
I don't play video games,1,1,1,1,1,1,1,1,4,3,2,1,93
Less than 2 hours,2,2,3,3,2,4,1,1,4,4,4,3,80
From 2 to 4 hours,1,1,1,4,1,1,4,1,4,4,1,2,137
I don't play video games,1,1,1,1,1,1,1,1,2,1,1,1,71
From 2 to 4 hours,2,1,4,2,3,4,1,1,4,2,1,1,116